Признаки,Фактор 1,Фактор 2,Фактор 3,Фактор 4
Бег 20 м (с),-0.09089979909723318,0.16033688840555493,0.049050449161464046,-0.08766544219424621
Десять восьмерок (сек),0.034608563861792487,-0.1598766257834041,-0.006232085469857941,0.3273759153251755
Комбинированное упражнение (мин),-0.0979381461804608,0.18517053252741217,0.039671422406312815,-0.11536264921376181
Переменный скоростной бег 100 м (сек),0.08808649550857788,-0.37589224829823287,-0.147589481121459,0.4775856220932644
Прыжок в высоту с места (см),0.0062092048444414615,-0.11859601618226148,-0.07523230789884376,0.18253901644084106
Прыжок в длину с места (см),0.9426676541000939,0.23545081590937608,0.026945549725764118,-0.07595372963064409
Брюшной пресс (раз),5.610537193428236e-05,-0.047108791359092766,0.11347821112591802,0.12209816018426384
Отжимания от пола (раз за 30 сек),-0.04459035252451772,0.036284171176413575,0.07614850226969837,-0.01932785931655225
Подтягивание на низкой перекладине (раз),-0.08078257248055984,0.036588678871598494,-0.004188728435136741,-0.14465727782578272
Бег 1 000 м (мин),-0.08978629156359626,0.15029677137060757,0.0566402508581142,-0.07363599905076289
Броски мяча в корзину с разных точек 40 бросков (кол. попаданий),-0.03107504657079511,-0.047161086374452044,0.22429231798411717,0.047633634798899295
Бросок набивного мяча (м),-0.0795309949776713,0.11192314859391676,-0.12119995188896886,-0.09990820672561902
Ведение мяча с закрытыми глазами в кругу (к-во кас),-0.06859128823009268,-0.01906161920313409,0.13612042347306216,0.10567798311774232
Оценка ощущения времени (балл),-0.09542536760362648,0.17362597448298944,0.04286647260843781,-0.08895777441472413
Передачи мяча (кол-во),-0.08795920234552827,0.15087470496620864,0.046248442247670725,-0.07909368038829456
Штрафные броски %,0.05487907804709398,-0.15521833304580604,-0.08394651553524812,0.1332440934545874
Ведения мяча с изменением направления и бросками (кол.попад),-0.09038558670435076,0.1670744850058282,-0.07121080487583542,0.02626754569465766
Передвижение в защитной стойке 100 м (мин),-0.09781608324829816,0.17935515238258326,0.04952937427491883,-0.1063489627079282
Челночный бег 3х10 м (сек),-0.07737273985056281,0.15666317534500812,-0.081770172733916,-0.06785448076182857
Динамометрия доминантной рукой (кг),-0.025973589594934437,-0.2777572065629198,0.4814436986650487,0.10782036367715798
Частота дыхания (кол-во раз),-0.03609285584988859,0.08303384515462883,0.09887384937767603,0.060046592286576744
Проба Штанге (с),0.07108943581165922,-0.6443807409391171,-0.0864068429689833,-0.6872172735031415
Проба Генчи (с),-0.05042615165854693,0.010181661596356658,-0.7668836632545686,0.0596972262828855
Жизненная емкость легких (мл),-0.05295046906492818,0.008192661959913512,0.003351590004601228,-0.004002817622774524
Суммарный вклад,2.3951930750911847,3.690105335496817,2.889321108365622,3.299972306712112
